"	Gendre ",School location,Age,Type of school,Level of education,Used computer,Usage years,Subjects,Weekly time usage,activities during lessons,Produce text , Email to student/teacher,Use spreadsheet,Create a presentation,Organize files ,Install a software , discussion online,Use internet , outside class access,Outside class activities,It is really important to me to work with a computer ,Using a computer for learning is fun,because im very interested in computers,I lose track of time when learning with a computer, To what extend do you agree with these statements regarding use of computers in school? [It will help me with my future studies],It is not necessary to use one for learning
Male,Eldoret,17,Private,Secondary,Yes,Between 1 to 3 years,Computer studies,3hrs to 5hrs a week,Listen to teachers’ presentation;Do tasks collectively;Investigate and explore issues individually or in small groups,A lot,A lot,A lot,A little,A lot,A lot,A lot,A lot,No,,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree
Male,Kisii,18,Public,Secondary,Yes,Less than 1 year,Computer studies,Less than 1hr a week,Listen to student presentation,Not at all,A little,A little,A little,A little,A little,A little,Not at all,Yes,To search for individual reasons(homework),Strongly agree,Agree,Agree,Agree,Strongly agree,Agree
Male,Kisii,16,Public,Secondary,Yes,Between 4 to 6 years,Music,Less than 1hr a week,Search the internet to collect information,A lot,A lot,A little,Somewhat,A lot,A little,A lot,A lot,Yes,To access information and download files,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly disagree
Male,Nairobi,16,Private,Secondary,Yes,Between 4 to 6 years,Music,3hrs to 5hrs a week,Listen to teachers’ presentation;Listen to student presentation;Accessing school website;Search the internet to collect information,A little,A lot,Not at all,Somewhat,A little,Not at all,Somewhat,Somewhat,Yes,To access the internet;To learn a foreign language;To watch videos;To search for individual reasons(homework);Reading news and current affairs;Following up lessons,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree
Male,Mombasa,16,Public,Secondary,Yes,Less than 1 year,"Test languages (e.g., English, Kiswahili);Social studies;Computer studies;Foreign languages (e.g., French);Sciences",1hr to 2hrs a week,Listen to teachers’ presentation,A little,A little,A little,A little,A little,A little,A little,A little,Yes,To access the internet;To access information and download files;To watch videos;Reading news and current affairs;Following up lessons;Using email to communicate with teachers and other students;Online classes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Male,Mombasa,16,Public,Secondary,Yes,Between 1 to 3 years,Mathematics;Computer studies,1hr to 2hrs a week,Work in small groups,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Yes,To search for individual reasons(homework);Following up lessons;Online classes,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Disagree
Male,Nakuru,16,Private,Secondary,Yes,Between 4 to 6 years,"Foreign languages (e.g., French)",1hr to 2hrs a week,Listen to student presentation,A little,,,,,,,,Yes,To access information and download files,Strongly agree,,,,,
Female,Mombasa,16,Public,Secondary,Yes,Between 4 to 6 years,"Mathematics;Computer studies;Foreign languages (e.g., French)",1hr to 2hrs a week,Work in small groups,A lot,A lot,A lot,A lot,A lot,Somewhat,A lot,A lot,No,To watch videos;To search for individual reasons(homework),Strongly agree,Agree,Agree,Agree,Agree,Strongly disagree
Female,Mombasa,16,Public,Secondary,Yes,Between 4 to 6 years,Computer studies,3hrs to 5hrs a week,Do tasks collectively;Search the internet to collect information,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Yes,To access the internet;To access information and download files;To watch videos;To search for individual reasons(homework);Following up lessons;Using email to communicate with teachers and other students;Online classes,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree
Male,Kisumu,18,Public,Secondary,Yes,Less than 1 year,,Less than 1hr a week,Search the internet to collect information,Not at all,A lot,A little,Not at all,A lot,Not at all,Somewhat,Somewhat,Yes,To access information and download files,Disagree,Agree,Disagree,Agree,Disagree,Strongly disagree
Female,Mombasa,16,Public,Secondary,Yes,Between 4 to 6 years,Computer studies;Music;Autocad,Less than 1hr a week,Listen to teachers’ presentation;Listen to student presentation;Accessing school website;Search the internet to collect information,A lot,A lot,A lot,,A lot,A lot,A lot,A lot,Yes,To access the internet;To access information and download files;To learn a foreign language;To watch videos;To search for individual reasons(homework);Reading news and current affairs;Following up lessons;Using email to communicate with teachers and other students;Online classes,Strongly agree,,Strongly agree,,,
Male,Kisumu,16,Public,Secondary,Yes,Less than 1 year,Computer studies,More than 5hrs a week,Accessing school website,Not at all,Somewhat,Somewhat,A lot,A lot,Somewhat,A lot,A lot,Yes,To search for individual reasons(homework),Strongly agree,Agree,Strongly agree,Disagree,Disagree,Agree
Female,Nairobi,15,Private,Secondary,Yes,Between 1 to 3 years,"Test languages (e.g., English, Kiswahili);Computer studies;Foreign languages (e.g., French);Music",3hrs to 5hrs a week,Work in small groups;Do tasks collectively;Look at films or videos;Investigate and explore issues individually or in small groups;Search the internet to collect information,A little,Not at all,A little,Somewhat,A lot,A little,Not at all,A little,No,,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly disagree
Male,Mombasa,14,Public,Secondary,Yes,Less than 1 year,Mathematics;Computer studies,1hr to 2hrs a week,Listen to teachers’ presentation,A lot,A lot,A lot,Somewhat,,A lot,A lot,A lot,No,To access the internet,Disagree,Agree,Disagree,Agree,Disagree,Agree
Male,Mombasa,17,Public,Secondary,Yes,Between 1 to 3 years,"Test languages (e.g., English, Kiswahili);Computer studies;Foreign languages (e.g., French);Music",Less than 1hr a week,Search the internet to collect information,Not at all,A little,Not at all,Not at all,A little,A little,A little,A little,Yes,To access the internet;To access information and download files;Using email to communicate with teachers and other students;Online classes,Strongly agree,Agree,Agree,Disagree,Strongly agree,Agree
Female,Kiambu,16,Public,Secondary,Yes,Between 4 to 6 years,"Mathematics;Test languages (e.g., English, Kiswahili);Computer studies;Foreign languages (e.g., French);Sciences;Art and Design ",3hrs to 5hrs a week,Listen to teachers’ presentation;Look at films or videos;Investigate and explore issues individually or in small groups;Search the internet to collect information,Somewhat,A little,Not at all,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Yes,To access the internet;To access information and download files;To learn a foreign language;To watch videos;To search for individual reasons(homework);Reading news and current affairs;Online classes,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree
Male,Uasin Gishu,16,Public,Secondary,No,,,,,,,,,,,,,,,,,,,,
Female,Siaya,16,Public,Secondary,Yes,Between 4 to 6 years,Computer studies,1hr to 2hrs a week,Listen to teachers’ presentation,A little,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No,Online classes,Agree,Agree,Agree,Disagree,Agree,Disagree
Female,Kenya,16,Public,Secondary,No,,,,,,,,,,,,,,,,,,,,
Male,Mombasa,18,Public,Secondary,Yes,Less than 1 year,Computer studies,3hrs to 5hrs a week,Do tasks collectively,A lot,A little,A little,Somewhat,Somewhat,A little,A little,Somewhat,No,Online classes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
Male,Mombasa,16,Public,Secondary,Yes,Between 4 to 6 years,Computer studies;Music,1hr to 2hrs a week,Search the internet to collect information,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Yes,To access information and download files,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree
Female,Mombasa,16,Public,Secondary,Yes,Between 4 to 6 years,Computer studies,3hrs to 5hrs a week,Search the internet to collect information,,,,,,,,,Yes,To access the internet;To access information and download files;To search for individual reasons(homework);Reading news and current affairs;Using email to communicate with teachers and other students;Online classes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
Male,Busia,16,Private,Secondary,Yes,Between 1 to 3 years,Computer studies,1hr to 2hrs a week,Do tasks collectively,A little,A little,A little,A little,Somewhat,Somewhat,Somewhat,Somewhat,No,,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree
Female,Uasin gishu,16,Private,Secondary,Yes,Between 1 to 3 years,"Test languages (e.g., English, Kiswahili);Computer studies",1hr to 2hrs a week,Do tasks collectively;Look at films or videos;Investigate and explore issues individually or in small groups;Search the internet to collect information,A little,Somewhat,A little,Not at all,A lot,A little,A little,Somewhat,No,,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree
Female,Kisii,15,Public,Secondary,No,,,,,,,,,,,,,,,,,,,,
Male,Kiambu,13,Public,Primary,No,,,,,,,,,,,,,,,,,,,,
Male,Kiambu,13,Private,Primary,No,,,,,,,,,,,,,,,,,,,,
Male,Kakamega,12,Private,Primary,Yes,Between 1 to 3 years,Computer studies,Less than 1hr a week,Investigate and explore issues individually or in small groups;Search the internet to collect information,A little,Not at all,A little,Not at all,A little,Not at all,Not at all,Not at all,No,,Agree,Agree,Agree,Strongly disagree,Agree,Strongly agree
Female,Kiambu,13,Public,Primary,No,,,,,,,,,,,,,,,,,,,,
Male,Kiambu,12,Public,Primary,No,,,,,,,,,,,,,,,,,,,,
Male,Kakamega,15,Public,Secondary,Yes,Between 1 to 3 years,"Test languages (e.g., English, Kiswahili);Computer studies;Foreign languages (e.g., French)",3hrs to 5hrs a week,Listen to teachers’ presentation;Do tasks collectively;Look at films or videos;Investigate and explore issues individually or in small groups;Search the internet to collect information,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Male,Nairobi,17,Public,Secondary,Yes,Between 1 to 3 years,Never,,,,,,,,,,,No,,Agree,Agree,Disagree,Disagree,Agree,Disagree
Female,Uasin gishu,12,Private,Primary,No,,,,,,,,,,,,,,,,,,,,
